size,threads,cores,time
10000,186,93,1.708884
10000,186,93,1.618976
10000,186,93,1.623530
10000,186,93,1.696422
10000,188,94,1.566704
10000,188,94,1.586256
10000,188,94,1.676635
10000,188,94,1.559741
10000,188,94,1.559749
10000,190,95,1.685171
10000,190,95,1.591244
10000,190,95,1.622369
10000,190,95,1.597302
10000,190,95,1.541355
10000,192,96,1.587477
10000,192,96,1.666253
10000,192,96,1.596520
10000,192,96,1.568449
10000,192,96,1.671858
10000,194,97,1.501138
10000,194,97,1.522500
10000,194,97,1.570785
10000,194,97,1.481076
10000,194,97,1.606591
10000,196,98,1.527661
10000,196,98,1.605748
10000,196,98,1.498317
10000,196,98,1.570114
10000,196,98,1.656012
10000,198,99,1.459506
10000,198,99,1.569016
10000,198,99,1.496878
10000,198,99,1.466468
10000,198,99,1.572260
10000,200,100,1.569797
10000,200,100,1.543189
10000,200,100,1.555322
10000,200,100,1.493507
10000,200,100,1.414833
10000,202,101,1.499286
10000,202,101,1.520804
10000,202,101,1.536664
10000,202,101,1.532694
10000,202,101,1.552755
10000,204,102,1.474223
10000,204,102,1.441739
10000,204,102,1.535489
10000,204,102,1.470433
10000,204,102,1.528956
10000,206,103,1.474007
10000,206,103,1.473998
10000,206,103,1.517933
10000,206,103,1.525288
10000,206,103,1.440610
10000,208,104,1.478775
10000,208,104,1.391053
10000,208,104,1.525083
10000,208,104,1.531120
10000,208,104,1.402012
10000,210,105,1.451900
10000,210,105,1.392472
10000,210,105,1.478303
10000,210,105,1.556656
10000,210,105,1.529581
10000,212,106,1.451770
10000,212,106,1.462278
10000,212,106,1.489156
10000,212,106,1.479527
10000,212,106,1.408732
10000,214,107,1.477773
10000,214,107,1.469371
10000,214,107,1.470687
10000,214,107,1.415884
10000,214,107,1.471958
10000,216,108,1.486638
10000,216,108,1.401961
10000,216,108,1.497203
10000,216,108,1.433997
10000,216,108,1.502246
10000,218,109,1.483471
10000,218,109,1.410447
10000,218,109,1.429490
10000,218,109,1.485152
10000,218,109,1.353914
10000,220,110,1.487225
10000,220,110,1.463215
10000,220,110,1.455788
10000,220,110,1.457414
10000,220,110,1.381725
10000,222,111,1.380161
10000,222,111,1.367808
10000,222,111,1.486437
10000,222,111,1.404440
10000,222,111,1.447695
10000,224,112,1.460905
10000,224,112,1.498912
10000,224,112,1.455770
10000,224,112,1.426039
10000,224,112,1.437275
10000,226,113,1.459563
10000,226,113,1.456807
10000,226,113,1.464792
10000,226,113,1.417750
10000,226,113,1.435852
10000,228,114,1.463847
10000,228,114,1.307614
10000,228,114,1.388377
10000,228,114,1.340347
10000,228,114,1.348622
10000,230,115,1.442665
10000,230,115,1.415009
10000,230,115,1.456388
10000,230,115,1.438366
10000,230,115,1.437201
10000,232,116,1.428998
10000,232,116,1.313498
10000,232,116,1.425077
10000,232,116,1.428324
10000,232,116,1.304694
10000,234,117,1.412882
10000,234,117,1.334241
10000,234,117,1.409301
10000,234,117,1.364678
10000,234,117,1.372688
10000,236,118,1.439763
10000,236,118,1.431164
10000,236,118,1.410757
10000,236,118,1.586543
10000,236,118,1.524944
10000,238,119,1.417018
10000,238,119,1.517989
10000,238,119,1.687646
10000,238,119,1.780481
10000,238,119,1.311287
10000,240,120,1.288809
10000,240,120,1.396804
10000,240,120,1.384312
10000,240,120,1.344850
10000,240,120,1.357131
10000,242,121,1.409561
10000,242,121,1.420792
10000,242,121,1.519071
10000,242,121,1.418644
10000,242,121,1.314969
10000,244,122,1.405331
10000,244,122,1.378678
10000,244,122,1.412265
10000,244,122,1.396822
10000,244,122,1.322271
10000,246,123,1.372965
10000,246,123,1.359715
10000,246,123,1.312812
10000,246,123,1.316540
10000,246,123,1.330424
10000,248,124,1.379668
10000,248,124,1.273191
10000,248,124,1.373043
10000,248,124,1.383038
10000,248,124,1.263931
10000,250,125,1.485227
10000,250,125,1.260057
10000,250,125,1.402878
10000,250,125,1.382345
10000,250,125,1.328621
10000,252,126,1.363462
10000,252,126,1.905904
10000,252,126,2.008699
10000,252,126,1.375943
10000,252,126,1.819700
10000,254,127,1.370232
10000,254,127,1.986274
10000,254,127,1.352816
10000,254,127,1.258636
10000,254,127,1.891313
10000,256,128,1.364718
10000,256,128,1.798164
10000,256,128,1.344440
10000,256,128,1.242769
10000,256,128,1.271914
